EmployeeNumber,Age,Attrition,Department,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,TrainingTimesLastYear,Gender,OverTime,PerformanceRating,JobInvolvement,JobLevel,JobRole
899,35,No,Research & Development,13,10,4,8,16,2,Male,No,3,2,3,Manufacturing Director
900,37,No,Sales,5,4,0,0,10,3,Female,No,3,3,1,Sales Representative
901,53,No,Research & Development,12,9,3,8,33,0,Female,No,3,3,4,Research Director
902,43,No,Research & Development,5,2,2,2,12,2,Female,No,3,3,2,Healthcare Representative
903,47,No,Sales,7,6,7,7,8,2,Female,Yes,4,3,2,Sales Executive
904,37,No,Sales,10,0,0,9,10,2,Male,Yes,3,3,3,Sales Executive
905,50,No,Research & Development,31,6,14,7,31,3,Male,No,3,3,4,Manager
909,39,No,Human Resources,5,4,0,4,13,2,Female,No,3,2,2,Human Resources
910,33,No,Human Resources,4,3,0,3,7,4,Male,Yes,3,3,1,Human Resources
911,32,Yes,Research & Development,1,0,0,1,1,2,Male,Yes,4,3,1,Laboratory Technician
912,29,No,Research & Development,4,3,0,3,8,5,Female,No,3,2,1,Laboratory Technician
913,44,No,Research & Development,8,7,7,1,8,0,Male,Yes,3,3,1,Research Scientist
916,28,No,Sales,4,2,0,2,4,3,Male,No,3,3,2,Sales Executive
918,58,Yes,Research & Development,1,0,0,0,3,3,Male,Yes,3,2,1,Laboratory Technician
920,43,No,Research & Development,1,0,0,0,4,2,Female,No,4,3,2,Manufacturing Director
922,20,Yes,Sales,2,2,0,2,2,3,Female,No,3,2,1,Sales Representative
923,21,Yes,Research & Development,1,0,0,0,1,3,Female,No,3,3,1,Research Scientist
924,36,No,Research & Development,16,8,4,11,17,2,Male,Yes,3,3,2,Healthcare Representative
925,47,No,Sales,3,2,1,2,3,3,Female,Yes,3,2,1,Sales Representative
926,22,Yes,Research & Development,3,2,0,2,4,3,Female,Yes,3,3,2,Manufacturing Director
927,41,Yes,Research & Development,7,7,1,0,10,1,Female,Yes,3,1,1,Laboratory Technician
930,28,No,Research & Development,2,2,2,2,6,2,Female,No,3,3,1,Research Scientist
932,39,Yes,Research & Development,2,2,2,2,8,2,Male,Yes,4,3,1,Laboratory Technician
933,27,No,Research & Development,1,1,0,0,1,2,Female,No,3,3,1,Research Scientist
934,34,No,Research & Development,1,0,1,0,1,3,Male,No,3,3,1,Laboratory Technician
936,42,No,Sales,5,4,0,3,10,6,Female,No,3,2,2,Sales Executive
939,33,No,Research & Development,3,2,0,2,6,1,Male,Yes,3,2,1,Research Scientist
940,58,No,Research & Development,6,0,0,4,24,3,Female,Yes,3,2,3,Healthcare Representative
941,31,No,Sales,7,7,5,2,13,2,Male,No,3,2,1,Sales Representative
942,35,No,Research & Development,10,6,0,7,10,2,Female,Yes,4,3,2,Healthcare Representative
944,49,No,Research & Development,26,9,1,7,29,3,Female,No,3,3,3,Laboratory Technician
945,48,No,Research & Development,0,0,0,0,13,2,Male,No,3,3,1,Research Scientist
947,31,No,Sales,9,8,0,0,9,2,Female,No,3,3,2,Sales Executive
949,36,No,Research & Development,6,2,0,1,8,6,Male,No,3,3,1,Research Scientist
950,38,No,Research & Development,15,12,5,11,15,3,Female,No,3,3,3,Research Director
951,32,No,Research & Development,3,0,0,2,5,3,Female,No,4,2,1,Laboratory Technician
952,25,Yes,Sales,1,0,0,0,1,2,Male,Yes,3,2,1,Sales Representative
954,40,No,Sales,1,0,0,0,11,2,Male,No,3,2,3,Sales Executive
956,26,No,Sales,7,7,0,7,7,2,Male,No,3,2,2,Sales Executive
957,41,No,Research & Development,18,13,2,17,20,3,Male,Yes,3,3,1,Laboratory Technician
958,36,No,Research & Development,11,8,3,9,16,6,Male,No,4,3,1,Laboratory Technician
959,19,Yes,Sales,1,0,0,0,1,3,Male,Yes,3,2,1,Sales Representative
960,20,Yes,Research & Development,1,0,0,0,1,2,Male,No,3,3,1,Laboratory Technician
961,31,No,Research & Development,9,7,8,5,10,2,Female,Yes,3,3,2,Healthcare Representative
964,40,No,Research & Development,1,1,0,0,3,2,Male,Yes,3,3,1,Research Scientist
966,32,No,Research & Development,8,7,6,3,8,2,Female,No,3,3,2,Manufacturing Director
967,36,Yes,Sales,16,7,3,7,16,6,Male,Yes,3,2,3,Sales Executive
969,33,No,Research & Development,5,0,1,4,6,3,Female,No,3,2,2,Healthcare Representative
970,37,Yes,Sales,14,1,11,7,17,2,Male,No,3,2,3,Sales Executive
972,45,No,Research & Development,9,7,0,8,9,5,Male,No,3,3,2,Laboratory Technician
974,29,No,Sales,3,1,0,2,3,5,Female,No,3,3,1,Sales Representative
975,35,No,Sales,5,2,1,0,5,3,Female,No,3,3,2,Sales Executive
976,52,No,Research & Development,9,8,7,8,26,2,Male,No,3,3,4,Manager
977,58,Yes,Research & Development,1,0,0,0,7,4,Male,No,4,3,1,Research Scientist
981,53,No,Sales,17,13,15,2,22,3,Male,No,3,3,4,Manager
982,30,No,Sales,8,4,7,7,10,2,Male,No,3,3,3,Sales Executive
983,38,No,Sales,5,3,1,3,6,1,Female,Yes,3,3,2,Sales Executive
984,35,No,Sales,10,9,0,8,12,2,Male,No,3,3,3,Sales Executive
985,39,No,Sales,8,7,0,7,9,3,Male,No,3,4,3,Sales Executive
986,40,Yes,Sales,1,0,0,0,22,2,Female,Yes,3,4,4,Sales Executive
987,47,No,Research & Development,19,10,2,7,20,3,Male,Yes,3,4,2,Manufacturing Director
990,36,No,Sales,7,7,0,7,12,3,Male,No,3,3,2,Sales Executive
991,31,Yes,Research & Development,3,2,1,2,4,0,Male,Yes,4,2,1,Research Scientist
992,33,No,Sales,10,8,6,0,10,2,Male,No,3,3,4,Manager
994,29,Yes,Research & Development,0,0,0,0,3,5,Female,Yes,4,2,1,Research Scientist
995,33,No,Research & Development,3,2,0,2,5,4,Female,No,3,3,1,Research Scientist
996,45,No,Research & Development,5,3,0,2,8,2,Female,No,3,3,1,Laboratory Technician
997,50,No,Research & Development,5,4,1,3,32,1,Male,No,4,3,4,Research Director
998,33,No,Research & Development,6,5,1,2,6,2,Female,Yes,3,4,2,Healthcare Representative
999,41,No,Research & Development,18,16,0,11,21,2,Male,No,3,3,5,Research Director
1001,27,No,Research & Development,2,2,2,2,4,2,Female,No,3,3,1,Laboratory Technician
1002,45,No,Research & Development,9,8,0,8,9,2,Male,Yes,3,3,2,Laboratory Technician
1003,47,No,Sales,9,0,0,7,9,0,Female,Yes,3,3,2,Sales Executive
1004,30,Yes,Research & Development,5,2,0,1,7,2,Female,Yes,3,3,1,Research Scientist
1005,50,No,Research & Development,12,11,1,5,22,2,Male,Yes,3,3,4,Manufacturing Director
1006,38,No,Research & Development,2,1,0,2,3,0,Male,No,3,3,1,Research Scientist
1007,46,No,Research & Development,8,7,0,7,13,3,Male,No,3,3,3,Manufacturing Director
1009,24,No,Research & Development,4,2,3,2,5,6,Female,No,3,2,2,Manufacturing Director
1010,35,Yes,Research & Development,4,2,0,2,5,2,Male,Yes,4,2,1,Laboratory Technician
1011,31,No,Research & Development,4,3,0,3,4,1,Female,No,3,3,2,Manufacturing Director
1012,18,No,Research & Development,0,0,0,0,0,2,Male,No,3,3,1,Research Scientist
1013,54,No,Research & Development,10,7,0,8,22,2,Female,No,3,3,3,Manufacturing Director
1014,35,No,Research & Development,16,10,10,1,16,3,Female,Yes,3,3,3,Healthcare Representative
1015,30,No,Research & Development,8,7,1,7,9,4,Female,Yes,3,4,3,Research Director
1016,20,Yes,Research & Development,1,0,0,0,1,2,Female,Yes,3,2,1,Research Scientist
1017,30,Yes,Research & Development,3,2,1,2,4,3,Female,No,3,3,1,Laboratory Technician
1018,26,No,Research & Development,8,7,1,3,8,2,Male,No,3,4,2,Manufacturing Director
1019,22,No,Research & Development,4,3,1,1,4,3,Male,No,3,1,1,Laboratory Technician
1022,48,No,Research & Development,2,2,2,2,19,0,Male,No,3,2,2,Healthcare Representative
1024,48,No,Research & Development,15,11,4,8,27,3,Male,No,3,2,3,Healthcare Representative
1025,41,No,Research & Development,2,2,2,1,8,6,Female,No,3,3,2,Manufacturing Director
1026,39,No,Research & Development,21,6,11,8,21,3,Female,No,3,2,4,Manufacturing Director
1027,27,No,Research & Development,3,2,2,2,4,2,Female,No,3,3,2,Manufacturing Director
1028,35,No,Research & Development,3,2,1,2,3,4,Male,No,4,3,1,Laboratory Technician
1029,42,No,Sales,1,0,0,0,21,3,Male,No,3,3,5,Manager
1030,50,No,Research & Development,1,0,0,0,8,5,Male,No,3,3,1,Laboratory Technician
1032,59,No,Research & Development,5,3,4,3,30,4,Female,Yes,3,2,4,Manufacturing Director
1033,37,Yes,Research & Development,1,0,0,0,15,2,Female,No,3,1,2,Healthcare Representative
1034,55,No,Research & Development,8,7,6,7,17,3,Male,Yes,3,3,2,Healthcare Representative
1035,41,No,Research & Development,21,16,5,10,21,3,Female,No,4,1,5,Research Director
1036,38,No,Sales,1,0,0,0,19,1,Male,Yes,3,3,2,Sales Executive
1037,26,Yes,Sales,2,2,2,2,7,6,Male,No,3,1,2,Sales Executive
1038,52,Yes,Sales,32,14,6,9,33,3,Female,No,3,1,5,Manager
1039,44,No,Sales,12,11,11,11,23,2,Female,Yes,3,4,4,Sales Executive
1040,50,No,Sales,18,7,0,13,19,3,Female,No,3,3,2,Sales Executive
1042,36,Yes,Research & Development,17,13,15,14,18,1,Female,No,3,4,1,Laboratory Technician
1043,39,No,Research & Development,21,6,2,8,21,2,Female,Yes,3,3,3,Manufacturing Director
1044,33,No,Sales,2,2,2,2,3,2,Female,No,3,2,1,Sales Representative
1045,45,No,Sales,9,3,1,1,26,4,Female,No,3,3,4,Manager
1046,32,No,Research & Development,8,7,7,7,10,2,Female,No,3,3,1,Laboratory Technician
1047,34,No,Sales,15,1,0,9,16,2,Male,No,3,4,2,Sales Executive
1048,59,No,Sales,6,4,0,4,14,1,Male,Yes,3,3,3,Manager
1049,45,No,Human Resources,6,3,0,4,6,3,Male,No,3,3,1,Human Resources
1050,53,No,Sales,15,7,6,12,30,2,Female,No,3,2,3,Sales Executive
1052,36,Yes,Research & Development,1,0,0,0,9,3,Male,No,3,3,2,Laboratory Technician
1053,26,Yes,Research & Development,3,2,1,2,6,2,Male,Yes,3,3,1,Research Scientist
1055,34,No,Sales,1,1,0,0,1,2,Female,Yes,3,3,1,Sales Representative
1056,28,No,Sales,1,0,0,0,1,5,Male,No,4,3,1,Sales Representative
1060,38,No,Research & Development,2,2,2,2,8,2,Male,No,3,3,1,Research Scientist
1061,50,No,Research & Development,8,1,7,7,29,2,Male,Yes,3,3,5,Research Director
1062,37,No,Research & Development,4,3,0,1,8,3,Female,No,3,3,2,Healthcare Representative
1066,40,No,Sales,7,7,7,5,8,3,Male,No,3,3,2,Sales Executive
1068,26,No,Research & Development,5,3,1,3,5,5,Female,No,3,2,1,Research Scientist
1069,46,No,Research & Development,2,2,2,2,23,0,Male,No,3,3,5,Research Director
1070,54,No,Sales,9,4,7,0,13,4,Female,No,3,2,3,Sales Executive
1071,56,No,Research & Development,5,4,0,3,18,4,Female,No,3,3,1,Research Scientist
1073,36,No,Research & Development,14,8,7,8,15,2,Female,No,3,2,3,Manufacturing Director
1074,55,No,Research & Development,9,7,6,2,31,3,Male,No,3,2,4,Manager
1076,43,No,Sales,1,0,0,0,18,5,Male,No,3,2,3,Sales Executive
1077,20,Yes,Sales,2,2,0,2,2,3,Female,Yes,3,3,1,Sales Representative
1079,21,Yes,Research & Development,1,0,1,0,1,6,Female,No,3,2,1,Laboratory Technician
1080,46,No,Research & Development,16,13,1,7,19,2,Female,Yes,4,2,2,Research Scientist
1081,51,Yes,Research & Development,10,0,2,7,18,2,Male,Yes,3,3,1,Research Scientist
1082,28,Yes,Research & Development,10,7,1,9,10,2,Male,No,3,2,3,Healthcare Representative
1083,26,No,Research & Development,5,3,1,3,6,2,Male,No,3,2,1,Laboratory Technician
1084,30,No,Research & Development,6,2,0,2,7,1,Male,No,3,3,2,Manufacturing Director
1085,41,No,Research & Development,10,6,0,8,10,3,Female,No,3,4,1,Research Scientist
1088,38,No,Research & Development,19,9,1,9,20,4,Female,No,3,2,3,Healthcare Representative
1092,40,No,Research & Development,11,10,11,1,14,6,Male,No,4,3,3,Healthcare Representative
1094,27,No,Research & Development,3,2,1,2,3,4,Male,No,3,1,1,Laboratory Technician
1096,55,No,Research & Development,3,2,1,2,23,4,Male,No,3,3,3,Manufacturing Director
1097,28,No,Research & Development,8,7,1,7,10,4,Female,No,3,3,2,Research Scientist
1098,44,Yes,Human Resources,20,6,3,6,24,1,Male,No,3,2,3,Human Resources
1099,33,No,Research & Development,3,2,1,2,9,2,Male,No,3,2,3,Healthcare Representative
1100,35,Yes,Sales,8,7,4,7,9,2,Male,Yes,4,3,3,Sales Executive
1101,33,Yes,Research & Development,13,7,3,8,14,4,Female,No,4,2,2,Research Scientist
1102,28,No,Research & Development,4,2,2,2,4,5,Male,No,3,3,1,Laboratory Technician
1103,34,No,Research & Development,6,2,0,4,7,1,Male,No,3,3,2,Healthcare Representative
1105,37,No,Sales,1,0,0,0,8,5,Female,Yes,3,2,2,Sales Executive
1106,25,Yes,Research & Development,7,7,5,6,7,3,Male,Yes,3,3,1,Laboratory Technician
1107,26,Yes,Research & Development,1,1,0,0,1,0,Male,No,4,3,1,Laboratory Technician
1108,33,Yes,Research & Development,2,2,2,2,5,0,Male,Yes,4,2,1,Research Scientist
1109,42,No,Research & Development,22,6,13,7,23,3,Male,No,3,3,4,Manager
1111,28,Yes,Research & Development,1,0,0,0,1,2,Male,No,3,2,1,Laboratory Technician
1113,50,Yes,Sales,0,0,0,0,5,4,Male,Yes,3,3,2,Sales Executive
1114,33,No,Sales,3,2,0,2,4,3,Female,No,3,3,2,Sales Executive
1115,34,No,Research & Development,0,0,0,0,6,2,Male,No,3,2,1,Research Scientist
1116,48,No,Research & Development,5,4,2,1,27,3,Male,No,4,4,4,Manager
1117,45,No,Sales,15,10,4,12,15,2,Female,No,3,2,2,Sales Executive
1118,52,No,Research & Development,8,6,4,0,18,4,Male,No,3,3,3,Healthcare Representative
1119,38,No,Sales,8,7,2,7,9,2,Male,Yes,3,2,3,Sales Executive
1120,29,No,Research & Development,7,5,1,7,11,1,Female,No,4,3,1,Research Scientist
1121,28,No,Research & Development,9,7,1,7,10,3,Female,No,3,3,3,Manufacturing Director
1124,46,No,Sales,12,9,4,9,23,3,Male,No,3,3,4,Manager
1125,38,No,Sales,1,0,0,0,10,2,Male,No,3,3,3,Sales Executive
1126,43,No,Research & Development,8,7,0,1,18,1,Female,No,3,3,3,Manufacturing Director
1127,39,Yes,Research & Development,18,7,11,5,21,4,Male,No,3,3,4,Healthcare Representative
1128,40,No,Research & Development,20,7,4,9,21,2,Male,No,3,2,5,Research Director
1131,21,No,Research & Development,2,2,2,2,2,6,Female,Yes,3,2,1,Research Scientist
1132,39,No,Research & Development,5,4,0,3,9,2,Male,No,3,3,2,Laboratory Technician
1133,36,No,Research & Development,11,9,0,9,18,0,Male,No,4,3,2,Manufacturing Director
1135,31,No,Sales,2,2,2,2,3,4,Male,No,3,4,1,Sales Representative
1136,28,No,Research & Development,5,3,0,4,6,2,Male,No,3,2,1,Research Scientist
1137,35,No,Sales,5,2,0,2,5,3,Male,No,3,3,2,Sales Executive
1138,49,No,Sales,9,8,2,3,22,3,Male,No,3,2,4,Sales Executive
1140,34,No,Research & Development,3,2,0,2,5,3,Male,No,3,3,2,Manufacturing Director
1143,29,No,Research & Development,7,5,1,1,8,2,Female,No,3,3,1,Research Scientist
1148,42,No,Research & Development,1,0,0,0,16,3,Male,No,3,1,2,Laboratory Technician
1150,29,No,Research & Development,10,7,1,2,10,2,Male,Yes,3,2,2,Manufacturing Director
1152,38,No,Human Resources,7,6,5,0,7,2,Male,No,3,4,1,Human Resources
1154,28,No,Research & Development,3,1,0,2,3,2,Male,Yes,3,2,1,Research Scientist
1156,18,Yes,Research & Development,0,0,0,0,0,0,Male,No,3,3,1,Laboratory Technician
1157,33,Yes,Sales,5,2,0,3,6,3,Female,Yes,3,3,2,Sales Executive
1158,41,No,Research & Development,1,0,0,0,6,4,Male,Yes,3,3,1,Laboratory Technician
1160,31,Yes,Research & Development,2,2,2,2,2,5,Male,No,3,3,1,Laboratory Technician
1161,37,No,Research & Development,6,2,1,3,9,2,Female,No,3,2,2,Healthcare Representative
1162,27,No,Research & Development,4,2,2,2,4,0,Male,No,3,2,1,Research Scientist
1163,34,No,Sales,6,5,1,3,6,3,Female,No,4,3,2,Sales Executive
1164,35,No,Human Resources,5,4,1,4,6,2,Male,No,3,3,1,Human Resources
1165,29,Yes,Sales,11,8,3,10,11,3,Female,No,3,2,3,Sales Executive
1166,40,No,Research & Development,18,7,2,13,20,3,Female,No,3,3,3,Research Director
1167,42,Yes,Sales,21,9,13,14,22,2,Male,Yes,3,3,4,Sales Executive
1171,42,No,Sales,6,4,1,5,9,3,Male,No,3,3,2,Sales Executive
1172,35,No,Research & Development,8,0,1,7,10,2,Male,No,3,2,1,Laboratory Technician
1173,24,No,Research & Development,4,3,1,2,6,2,Male,No,4,3,1,Laboratory Technician
1175,28,Yes,Research & Development,1,1,0,0,1,4,Female,Yes,3,3,1,Laboratory Technician
1177,26,No,Research & Development,8,7,0,7,8,2,Male,No,4,4,1,Laboratory Technician
1179,30,No,Sales,10,3,1,4,10,3,Male,No,3,2,2,Sales Executive
1180,40,No,Research & Development,1,1,0,0,16,3,Female,Yes,3,2,2,Research Scientist
1182,35,No,Research & Development,7,7,6,4,15,2,Male,No,3,2,3,Manufacturing Director
1184,34,No,Research & Development,13,9,4,9,14,3,Male,No,4,2,2,Healthcare Representative
1185,35,No,Research & Development,2,2,2,2,2,2,Male,No,3,2,1,Laboratory Technician
1188,43,Yes,Sales,4,3,1,3,7,2,Female,No,3,1,2,Sales Executive
1190,32,No,Sales,1,0,0,0,1,3,Female,No,3,3,1,Sales Representative
1191,56,No,Research & Development,5,2,4,2,28,2,Female,No,3,3,5,Manager
1192,29,No,Research & Development,10,8,0,8,10,5,Female,No,3,3,1,Laboratory Technician
1193,19,No,Research & Development,1,1,0,0,1,4,Male,No,4,3,1,Research Scientist
1195,45,No,Research & Development,3,2,0,2,7,2,Female,Yes,3,3,1,Research Scientist
1196,37,No,Research & Development,14,8,3,11,14,2,Female,No,3,2,2,Manufacturing Director
1198,20,No,Research & Development,2,2,1,2,2,2,Male,No,3,2,1,Laboratory Technician
1200,44,Yes,Research & Development,6,4,0,2,6,4,Male,Yes,3,3,1,Research Scientist
1201,53,No,Research & Development,7,7,4,7,26,6,Female,No,3,3,5,Manager
1202,29,No,Research & Development,5,4,1,3,6,2,Female,Yes,3,1,1,Research Scientist
1203,22,Yes,Research & Development,0,0,0,0,1,5,Male,Yes,3,2,1,Research Scientist
1204,46,No,Sales,26,15,15,9,28,2,Female,No,4,3,4,Manager
1206,44,No,Research & Development,0,0,0,0,6,3,Male,No,3,1,1,Research Scientist
1207,33,No,Human Resources,5,4,1,4,5,2,Male,No,3,3,1,Human Resources
1210,41,Yes,Research & Development,1,0,0,0,5,2,Male,No,3,2,1,Research Scientist
1211,30,No,Sales,4,3,0,3,8,3,Male,No,3,3,2,Sales Executive
1212,40,No,Sales,0,0,0,0,5,2,Male,No,3,3,2,Sales Executive
1215,50,No,Research & Development,2,2,2,2,32,3,Female,No,4,3,4,Manager
1216,28,No,Research & Development,6,5,3,3,6,2,Male,No,3,2,1,Laboratory Technician
1217,46,No,Research & Development,4,2,0,3,25,2,Male,No,3,3,5,Research Director
1218,35,No,Sales,7,7,1,7,15,2,Male,Yes,3,3,2,Sales Executive
1219,24,Yes,Research & Development,1,0,0,0,1,3,Female,No,3,3,1,Laboratory Technician
1220,33,No,Sales,10,7,0,1,10,3,Female,No,3,3,2,Sales Executive
1221,36,No,Research & Development,7,7,1,7,7,4,Male,No,3,1,1,Laboratory Technician
1224,30,No,Research & Development,10,7,8,9,10,4,Male,No,3,3,2,Laboratory Technician
1225,44,No,Research & Development,20,11,13,17,20,3,Male,No,4,3,2,Research Scientist
1226,20,No,Sales,2,1,2,2,2,2,Male,No,3,4,1,Sales Representative
1228,46,No,Research & Development,6,3,1,4,12,3,Male,No,3,3,2,Manufacturing Director
1231,42,No,Human Resources,4,3,0,3,10,3,Male,No,3,4,2,Human Resources
1233,60,No,Sales,11,7,1,9,12,3,Male,Yes,3,4,2,Sales Executive
1234,32,No,Research & Development,2,2,2,2,2,2,Female,No,4,2,1,Laboratory Technician
1235,32,No,Research & Development,8,7,0,7,10,2,Female,Yes,3,3,2,Research Scientist
1237,36,No,Research & Development,7,7,7,7,17,2,Female,Yes,4,1,3,Manufacturing Director
1238,33,No,Research & Development,14,10,4,10,15,5,Male,No,3,3,1,Research Scientist
1239,40,No,Sales,5,1,1,3,7,2,Female,No,3,2,2,Sales Executive
1240,25,No,Sales,4,3,1,1,5,4,Male,No,3,3,2,Sales Executive
1241,30,No,Research & Development,11,9,5,7,12,2,Male,Yes,4,3,1,Research Scientist
1242,42,No,Research & Development,1,0,0,0,20,6,Female,Yes,3,3,3,Research Director
1243,35,No,Sales,13,2,4,12,16,6,Female,Yes,3,2,3,Sales Executive
1244,27,No,Research & Development,9,7,6,8,9,3,Male,Yes,3,3,1,Research Scientist
1245,54,No,Research & Development,5,4,1,4,33,2,Female,No,3,3,3,Manufacturing Director
1246,44,No,Research & Development,10,5,7,7,10,5,Female,No,3,4,1,Research Scientist
1248,19,Yes,Research & Development,1,1,0,0,1,2,Female,Yes,4,2,1,Research Scientist
1249,29,No,Research & Development,3,2,1,2,3,5,Female,No,3,3,1,Research Scientist
1250,54,No,Research & Development,10,9,0,9,36,2,Male,No,3,3,4,Research Director
1251,31,No,Research & Development,6,5,0,1,6,2,Male,Yes,3,3,2,Healthcare Representative
1252,31,No,Research & Development,10,9,1,8,10,2,Female,No,3,2,2,Healthcare Representative
1254,59,No,Sales,6,1,0,5,13,2,Female,No,3,2,2,Sales Executive
1255,43,No,Research & Development,8,7,0,7,25,2,Male,No,3,1,5,Research Director
1256,49,No,Research & Development,1,0,0,0,23,2,Male,No,3,2,5,Manager
1257,36,No,Research & Development,11,10,0,7,12,2,Male,No,3,3,1,Research Scientist
1258,48,No,Research & Development,1,0,0,0,7,4,Male,No,3,4,1,Laboratory Technician
1259,27,No,Research & Development,5,3,0,3,5,2,Male,No,3,3,1,Research Scientist
1260,29,No,Research & Development,6,0,1,0,6,2,Male,Yes,3,3,2,Healthcare Representative
1263,48,No,Research & Development,1,0,0,0,25,3,Male,No,3,2,5,Research Director
1264,29,No,Research & Development,7,7,1,7,9,2,Female,No,3,2,4,Research Director
1265,34,No,Research & Development,1,0,0,0,2,5,Female,No,3,4,1,Research Scientist
1267,44,No,Sales,22,9,3,10,26,5,Male,No,3,3,5,Manager
1268,33,No,Sales,9,8,0,8,10,3,Male,Yes,3,4,3,Sales Executive
1269,19,No,Research & Development,1,0,0,1,1,2,Female,Yes,3,4,1,Research Scientist
1270,23,No,Research & Development,1,0,0,1,1,2,Male,No,4,3,1,Research Scientist
1273,25,Yes,Sales,1,0,1,0,1,4,Male,Yes,3,1,1,Sales Representative
1275,26,No,Research & Development,8,5,2,2,8,2,Male,Yes,4,3,1,Research Scientist
1277,45,Yes,Sales,24,10,1,11,26,2,Female,Yes,3,1,5,Manager
1278,55,No,Research & Development,33,9,15,0,34,3,Male,Yes,3,2,4,Healthcare Representative
1279,21,Yes,Research & Development,2,2,2,2,2,2,Female,No,4,2,1,Laboratory Technician
1280,46,No,Sales,11,4,0,8,26,2,Female,No,3,2,5,Manager
1281,34,No,Sales,3,2,0,2,4,3,Female,Yes,3,3,2,Sales Executive
1282,51,No,Sales,29,10,11,10,31,5,Male,Yes,4,3,5,Manager
1283,59,No,Research & Development,9,7,5,4,25,6,Male,No,3,3,3,Manufacturing Director
1285,34,No,Research & Development,11,8,5,10,15,2,Female,No,3,3,2,Laboratory Technician
1286,28,No,Research & Development,4,2,0,2,5,2,Male,Yes,3,3,1,Laboratory Technician
1288,44,No,Research & Development,25,9,14,13,26,4,Male,No,3,4,5,Manager
1289,34,No,Human Resources,10,9,1,8,14,5,Male,No,3,2,2,Human Resources
1291,35,No,Research & Development,3,2,2,2,4,3,Male,Yes,3,3,1,Research Scientist
1292,42,No,Research & Development,1,0,0,0,18,2,Female,Yes,3,4,2,Research Scientist
1293,43,No,Sales,21,7,15,17,23,3,Female,No,3,2,3,Sales Executive
1294,36,No,Research & Development,16,14,5,12,18,2,Female,Yes,3,3,2,Manufacturing Director
1295,44,Yes,Research & Development,10,7,0,5,10,2,Female,No,3,3,3,Healthcare Representative
1296,28,No,Research & Development,2,2,2,2,2,2,Male,Yes,3,2,1,Laboratory Technician
1297,51,No,Research & Development,7,0,7,7,8,6,Female,No,3,2,1,Laboratory Technician
1298,30,No,Research & Development,8,4,1,7,10,3,Female,Yes,3,3,2,Manufacturing Director
1299,29,Yes,Research & Development,7,7,7,7,10,2,Female,Yes,3,3,1,Laboratory Technician
1301,28,No,Research & Development,3,2,1,2,5,2,Male,No,3,3,1,Research Scientist
1303,25,No,Research & Development,2,2,2,1,2,3,Female,No,3,3,1,Research Scientist
1304,32,No,Sales,10,7,0,8,10,4,Male,No,3,4,2,Sales Executive
1306,45,No,Research & Development,0,0,0,0,22,4,Female,No,4,3,5,Manager
1307,39,No,Research & Development,19,9,15,2,21,4,Female,Yes,3,2,4,Manager
1308,58,No,Research & Development,2,2,2,2,2,3,Male,No,3,3,1,Research Scientist
1309,32,Yes,Research & Development,10,4,1,1,10,3,Male,No,3,3,2,Laboratory Technician
1310,39,Yes,Research & Development,5,2,0,3,6,2,Male,No,3,3,1,Research Scientist
1311,30,No,Research & Development,9,2,6,7,10,6,Female,No,3,2,2,Laboratory Technician
1312,36,No,Research & Development,7,7,1,7,10,0,Female,No,3,3,3,Healthcare Representative
1314,46,No,Human Resources,7,6,5,7,10,3,Female,No,3,3,1,Human Resources
1315,28,No,Research & Development,9,8,7,5,10,6,Female,No,3,1,2,Laboratory Technician
1317,50,No,Research & Development,3,2,1,2,25,2,Female,Yes,3,3,4,Research Director
1318,40,Yes,Sales,5,4,1,0,9,2,Male,Yes,3,2,3,Sales Executive
1319,52,Yes,Sales,8,7,7,7,10,2,Male,Yes,3,3,3,Sales Executive
1321,30,No,Research & Development,9,1,0,8,9,2,Female,Yes,4,3,3,Manager
1322,39,No,Research & Development,8,7,1,7,9,6,Male,No,3,3,2,Manufacturing Director
1324,31,No,Sales,10,8,9,6,10,5,Female,Yes,3,3,3,Sales Executive
1329,41,No,Sales,19,2,11,9,19,4,Male,No,3,1,2,Sales Executive
1331,31,Yes,Sales,3,2,2,2,3,2,Female,Yes,3,3,1,Sales Representative
1333,44,Yes,Research & Development,3,2,1,2,10,4,Male,No,3,3,1,Laboratory Technician
1334,42,No,Research & Development,20,8,2,10,21,3,Male,Yes,3,3,4,Manager
1336,55,No,Research & Development,19,9,9,11,23,5,Female,No,3,1,5,Manager
1338,56,No,Human Resources,7,3,7,7,36,4,Male,No,3,3,5,Manager
1340,40,No,Research & Development,4,2,0,0,6,0,Male,No,3,3,1,Research Scientist
1344,34,No,Research & Development,9,7,1,6,10,0,Male,No,3,3,3,Healthcare Representative
1346,40,No,Research & Development,9,8,8,8,9,4,Male,No,3,3,2,Research Scientist
1349,41,No,Sales,9,3,1,7,10,2,Female,No,3,3,2,Sales Executive
1350,35,No,Research & Development,9,6,1,1,9,3,Male,Yes,3,3,2,Research Scientist
1352,51,No,Human Resources,33,9,0,10,33,2,Male,Yes,3,3,4,Manager
1355,38,No,Sales,7,7,1,7,11,3,Female,No,3,3,2,Sales Executive
1356,34,No,Sales,10,8,9,6,10,6,Female,No,3,3,2,Sales Executive
